"","INDEX","Sample.id","lat","lon","ref_6","bio4","ai_et0","contrast","ref_4","shannon","bio5","bio17","silt2_1","sand2_1","shannon_species","shannon.red"
"111","25.81277778 107.1766667","S139",25.81277778,107.1766667,-0.006080336,-0.4455414,0.45281836,-0.36596447,-1.003104,0.12697922,0.6471889,0.23977453,0.74937576,-0.7104516,4.069720672,4.069720672
"112","25.84944444 107.1669444","S143",25.84944444,107.1669444,0.03343759,-0.44404075,0.4580654,-0.3118037,-0.9865516,0.06681517,0.6472986,0.23977453,0.794368,-0.7392566,4.559842269,4.559842269
"113","25.86194444 107.1297222","S141",25.86194444,107.1297222,0.11603455,-0.44665012,0.44894555,0.15181951,-0.9790966,0.6884896,0.63468456,0.2306983,0.7395733,-0.65650713,4.23696485,4.23696485
"114","25.89333333 113.0036111","S37",25.89333333,113.0036111,-0.08543928,-0.21591389,0.5287755,-0.14250185,-0.97123957,0.18279846,0.874043,1.1150298,0.71482146,-0.92555887,2.841023677,2.841023677
"115","25.89861111 113.0055556","S35",25.89861111,113.0055556,-0.08543928,-0.21591389,0.5287755,-0.14250185,-0.97123957,0.18279846,0.874043,1.1150298,0.71482146,-0.92555887,4.593962342,4.593962342
"116","26.17 -97.96","SRR5195106",26.17,-97.96,0.6726593,-0.77354884,-0.53999674,1.307685,-0.87226385,1.1385969,0.9965852,0.39130837,-0.6626089,0.6434746,4.755122864,4.310536616
"117","26.30638889 106.1388889","S132",26.30638889,106.1388889,0.11370316,-0.49859545,0.41159162,0.5663171,-0.9503251,1.0267686,0.58554494,0.072087616,0.8369765,-2.033379,3.654215317,3.654215317
"118","26.32083333 106.1394444","S130",26.32083333,106.1394444,0.03396796,-0.49544287,0.40284654,0.4410797,-0.93243194,0.7941932,0.5879581,0.072850525,0.68491834,-2.0834718,4.455317459,4.455317459
"119","26.32194444 106.1388889","S129",26.32194444,106.1388889,0.03396796,-0.49544287,0.40284654,0.4410797,-0.93243194,0.7941932,0.5879581,0.072850525,0.68491834,-2.0834718,4.343623589,4.343623589
"120","26.5008 -80.2398","SRR8879130",26.5008,-80.2398,-0.54883915,-1.1437542,0.07353226,-0.36484432,-1.042183,0.2247177,0.8522593,1.4676721,-1.8894168,2.3545966,6.446362608,6.490288779
"121","26.5052 -80.2345","SRR8881006",26.5052,-80.2345,-0.54883915,-1.1437542,0.07353226,-0.36484432,-1.042183,0.2247177,0.8522593,1.4676721,-1.8894168,2.3545966,6.250168741,6.0619046445
"122","26.5059 -80.2517","SRR8879132",26.5059,-80.2517,-0.6453345,-1.1414516,0.07140846,-0.3803333,-1.0471642,0.049903315,0.8482448,1.411987,-1.709464,1.933286,6.085799059,5.9833974646
"123","26.5065 -80.2537","SRR8881005",26.5065,-80.2537,-0.6453345,-1.1414516,0.07140846,-0.3803333,-1.0471642,0.049903315,0.8482448,1.411987,-1.709464,1.933286,5.960863863,5.911039761
"124","26.75861111 100.6683333","S332",26.75861111,100.6683333,0.106175765,-0.8770711,-0.264652,2.7778842,-0.93224126,0.99587226,0.66171145,-0.05855771,0.6047217,-0.7506577,4.650686782,4.650686782
"125","26.77305556 100.6725","S333",26.77305556,100.6725,0.48763913,-0.90869886,-0.26315287,0.16588038,-0.9250739,0.8015187,0.6294197,-0.06684472,0.8368066,-0.9431534,5.12729679,5.12729679
"126","26.86611111 100.1480556","S334",26.86611111,100.1480556,-0.42512065,-0.87458533,-0.1800747,-0.06587449,-0.99563587,0.18415286,0.45613655,-0.06139895,1.1891724,-0.6735841,4.733285413,4.733285413
"127","26.96027778 100.2008333","S335",26.96027778,100.2008333,0.10598872,-0.8879112,-0.16995542,0.10038679,-0.97072667,0.76599526,0.42491966,-0.072763994,1.0318555,-0.6512805,4.216249432,4.216249432
"128","27.0425 107.0227778","S137",27.0425,107.0227778,-0.020187844,-0.3622118,0.34750274,-0.14528026,-0.98064435,0.26712072,0.6523003,0.09650138,0.80580854,-1.2039853,5.259224139,5.259224139
"129","27.04277778 107.0227778","S134",27.04277778,107.0227778,-0.020187844,-0.3622118,0.34750274,-0.14528026,-0.98064435,0.26712072,0.6523003,0.09650138,0.80580854,-1.2039853,3.757788434,4.627300484
"130","27.04361111 106.9605556","S135",27.04361111,106.9605556,0.069216356,-0.3719919,0.39734963,0.20661657,-0.9436733,0.6209843,0.6275111,0.08534683,0.95557165,-1.1414763,4.727106676,4.727106676
"131","27.05861111 115.0369444","S249",27.05861111,115.0369444,-0.22983573,-0.13898046,0.5794969,0.5741921,-0.97702366,0.90428424,0.9006968,1.3174537,0.7795217,-0.53716743,2.87588317,2.87588317
"132","27.08083333 115.01","S237",27.08083333,115.01,-0.087298356,-0.13153592,0.5909904,0.001511887,-0.9294086,0.52640116,0.9186637,1.3523194,0.6023808,-0.4059383,4.759530887,4.759530887
"133","27.11722222 115.0511111","S238",27.11722222,115.0511111,-0.046248544,-0.1354795,0.5933641,1.2011845,-0.9431135,0.923279,0.9035487,1.3119291,0.7093218,-0.50582904,3.742382964,3.742382964
"134","27.13416667 114.9919444","S234",27.13416667,114.9919444,-0.24825118,-0.12751722,0.5602578,0.49598098,-0.9089182,0.9399478,0.9263636,1.3299763,1.4281023,-1.1114225,2.954187062,2.954187062
"135","27.14611111 110.0333333","S42",27.14611111,110.0333333,-0.084344044,-0.17207089,0.49541932,0.1263302,-0.9939607,0.2886754,0.83679336,1.0389576,0.91760284,-1.1695944,3.413256704,3.413256704
"136","27.16527778 115.0983333","S233",27.16527778,115.0983333,-0.1247896,-0.1317567,0.584744,0.2806326,-0.9515854,0.75603914,0.9056547,1.3200845,1.5029445,-1.012077,3.472806864,3.472806864
"137","27.22 -109.55","SRR8987900",27.22,-109.55,0.8564397,-0.7548553,-0.7017805,-0.09599794,-0.8402252,1.0002214,1.1306003,-0.4621744,-1.0418316,0.7934614,2.333450827,2.68036475275
"138","27.6218222 111.4635061","SRR1185960",27.6218222,111.4635061,-0.24008201,-0.10968862,0.4974182,1.7747535,-0.97071767,0.9531193,0.89283246,1.4078478,1.0840765,-1.2044628,3.651368613,3.651368613
"139","27.73972222 118.0672222","S91",27.73972222,118.0672222,-0.29968587,-0.32790774,0.74240506,-0.42244056,-1.0241449,-0.19638048,0.8281721,1.2945358,-0.08044424,-0.14386831,4.234775443,4.234775443
"140","27.756161 118.023465","S406",27.756161,118.023465,-0.14647111,-0.3111918,0.71079785,0.61260456,-0.9671999,1.0158533,0.8958488,1.2750978,0.19957007,-0.040755708,3.220911442,3.220911442
