"","sample","diversity"
"diversity101","S22",23.5020106435486
"diversity102","S223",23.2189978265461
"diversity103","S225",23.0552219101841
"diversity104","S226",22.7179199780198
"diversity105","S227",22.6934195437225
"diversity106","S228",23.3456532351452
"diversity107","s23_FDMS190655349",23.1149778421139
"diversity108","S23",23.6363629365679
"diversity109","S233",23.3385747281043
"diversity110","S234",23.1714420975139
"diversity111","S237",22.6867000199892
"diversity112","S238",23.053731232237
"diversity113","S239",23.3017314069543
"diversity114","S24",23.5353842064506
"diversity115","S242",23.5647846824463
"diversity116","S244",22.4458985849811
"diversity117","S245",23.5949071199472
"diversity118","S246",22.9091654783603
"diversity119","S248",23.3255031088258
"diversity120","S249",23.5025992312361
"diversity121","S25",22.6451757065627
"diversity122","S250",23.6339974337885
"diversity123","S251",23.0957004908608
"diversity124","S252",23.4743660809638
"diversity125","S253",23.6969393701484
"diversity126","S256",23.3854869372225
"diversity127","S257",23.5518243828232
"diversity128","S258",22.4137502774951
"diversity129","s26_FDMS190655350",23.351869545616
"diversity130","S260",23.6639046930537
"diversity131","S261",22.4339378734401
"diversity132","S262",23.3549166125715
"diversity133","S263",23.6004911625233
"diversity134","S264",22.0845702264453
"diversity135","S265",23.6619235847472
"diversity136","S268",23.1191681965254
"diversity137","S269",23.6465582465128
"diversity138","s27_FDMS190655351",23.2918957659136
"diversity139","S270",23.4607942897867
"diversity140","S271",23.4748362809362
"diversity141","S274",23.4783154531194
"diversity142","S276",23.1378206261565
"diversity143","S277",23.4624282256954
"diversity144","S279",23.5985243051356
"diversity145","s28_FDMS190655352",23.2928189237498
"diversity146","S28",23.3898895633143
"diversity147","S281",23.4792962338327
"diversity148","S283",23.5404414517486
"diversity149","S284",23.4085453499714
"diversity150","S285",23.4683381008231
"diversity151","S286",23.5265034094522
"diversity152","S287",23.577998728466
"diversity153","S288",23.034166301206
"diversity154","S29",22.7969483353279
"diversity155","S290",23.1124522903786
"diversity156","S296",23.3921086971974
"diversity157","S297",23.2502829905022
"diversity158","s3_FDMS190655337",23.3176348996866
"diversity159","S3",23.0652975427434
